Ticker,Name,Sector
RELIANCE.NS,Reliance Industries,Energy
TCS.NS,Tata Consultancy Services,Technology
HDFCBANK.NS,HDFC Bank,Financials
INFY.NS,Infosys,Technology
HINDUNILVR.NS,Hindustan Unilever,Consumer Staples
ICICIBANK.NS,ICICI Bank,Financials
SBIN.NS,State Bank of India,Financials
BHARTIARTL.NS,Bharti Airtel,Communication
ITC.NS,ITC,Consumer Staples
KOTAKBANK.NS,Kotak Mahindra Bank,Financials
LT.NS,Larsen & Toubro,Industrials
HCLTECH.NS,HCL Technologies,Technology
AXISBANK.NS,Axis Bank,Financials
MARUTI.NS,Maruti Suzuki,Consumer Discretionary
SUNPHARMA.NS,Sun Pharmaceutical,Healthcare
TITAN.NS,Titan Company,Consumer Discretionary
ULTRACEMCO.NS,UltraTech Cement,Materials
NTPC.NS,NTPC,Utilities
WIPRO.NS,Wipro,Technology
POWERGRID.NS,Power Grid Corp,Utilities
BAJFINANCE.NS,Bajaj Finance,Financials
TATAMOTORS.NS,Tata Motors,Consumer Discretionary
NESTLEIND.NS,Nestle India,Consumer Staples
ASIANPAINT.NS,Asian Paints,Materials
DRREDDY.NS,Dr Reddy's Laboratories,Healthcare
DIVISLAB.NS,Divi's Laboratories,Healthcare
ONGC.NS,Oil and Natural Gas Corp,Energy
COALINDIA.NS,Coal India,Energy
ADANIENT.NS,Adani Enterprises,Industrials
TECHM.NS,Tech Mahindra,Technology
